ship_name,file_path_1,date_seg_1,file_path_2,date_seg_2
ALFRED_N,data\deepship_ps_2_npz\Tanker\ALFRED_N-80-20170326_seg001.npz,20170326_1,data\deepship_ps_2_npz\Tanker\ALFRED_N-80-20170403_seg054.npz,20170403_54
ALFRED_N,data\deepship_ps_2_npz\Tanker\ALFRED_N-80-20170326_seg002.npz,20170326_2,data\deepship_ps_2_npz\Tanker\ALFRED_N-80-20170403_seg039.npz,20170403_39
ALFRED_N,data\deepship_ps_2_npz\Tanker\ALFRED_N-80-20170326_seg003.npz,20170326_3,data\deepship_ps_2_npz\Tanker\ALFRED_N-80-20170403_seg036.npz,20170403_36
ALFRED_N,data\deepship_ps_2_npz\Tanker\ALFRED_N-80-20170326_seg004.npz,20170326_4,data\deepship_ps_2_npz\Tanker\ALFRED_N-80-20170403_seg011.npz,20170403_11
ALFRED_N,data\deepship_ps_2_npz\Tanker\ALFRED_N-80-20170326_seg005.npz,20170326_5,data\deepship_ps_2_npz\Tanker\ALFRED_N-80-20170403_seg045.npz,20170403_45
ALFRED_N,data\deepship_ps_2_npz\Tanker\ALFRED_N-80-20170326_seg006.npz,20170326_6,data\deepship_ps_2_npz\Tanker\ALFRED_N-80-20170403_seg038.npz,20170403_38
ALFRED_N,data\deepship_ps_2_npz\Tanker\ALFRED_N-80-20170326_seg008.npz,20170326_8,data\deepship_ps_2_npz\Tanker\ALFRED_N-80-20170403_seg003.npz,20170403_3
ALFRED_N,data\deepship_ps_2_npz\Tanker\ALFRED_N-80-20170326_seg009.npz,20170326_9,data\deepship_ps_2_npz\Tanker\ALFRED_N-80-20170403_seg030.npz,20170403_30
ALFRED_N,data\deepship_ps_2_npz\Tanker\ALFRED_N-80-20170326_seg010.npz,20170326_10,data\deepship_ps_2_npz\Tanker\ALFRED_N-80-20170403_seg044.npz,20170403_44
ALFRED_N,data\deepship_ps_2_npz\Tanker\ALFRED_N-80-20170326_seg011.npz,20170326_11,data\deepship_ps_2_npz\Tanker\ALFRED_N-80-20170403_seg019.npz,20170403_19
ALFRED_N,data\deepship_ps_2_npz\Tanker\ALFRED_N-80-20170326_seg014.npz,20170326_14,data\deepship_ps_2_npz\Tanker\ALFRED_N-80-20170403_seg046.npz,20170403_46
ALFRED_N,data\deepship_ps_2_npz\Tanker\ALFRED_N-80-20170326_seg015.npz,20170326_15,data\deepship_ps_2_npz\Tanker\ALFRED_N-80-20170403_seg029.npz,20170403_29
ALFRED_N,data\deepship_ps_2_npz\Tanker\ALFRED_N-80-20170326_seg016.npz,20170326_16,data\deepship_ps_2_npz\Tanker\ALFRED_N-80-20170403_seg010.npz,20170403_10
ALFRED_N,data\deepship_ps_2_npz\Tanker\ALFRED_N-80-20170326_seg017.npz,20170326_17,data\deepship_ps_2_npz\Tanker\ALFRED_N-80-20170403_seg012.npz,20170403_12
ALFRED_N,data\deepship_ps_2_npz\Tanker\ALFRED_N-80-20170326_seg019.npz,20170326_19,data\deepship_ps_2_npz\Tanker\ALFRED_N-80-20170403_seg022.npz,20170403_22
ALFRED_N,data\deepship_ps_2_npz\Tanker\ALFRED_N-80-20170326_seg020.npz,20170326_20,data\deepship_ps_2_npz\Tanker\ALFRED_N-80-20170403_seg001.npz,20170403_1
ALFRED_N,data\deepship_ps_2_npz\Tanker\ALFRED_N-80-20170326_seg023.npz,20170326_23,data\deepship_ps_2_npz\Tanker\ALFRED_N-80-20170403_seg034.npz,20170403_34
ALFRED_N,data\deepship_ps_2_npz\Tanker\ALFRED_N-80-20170326_seg025.npz,20170326_25,data\deepship_ps_2_npz\Tanker\ALFRED_N-80-20170403_seg047.npz,20170403_47
ALFRED_N,data\deepship_ps_2_npz\Tanker\ALFRED_N-80-20170326_seg026.npz,20170326_26,data\deepship_ps_2_npz\Tanker\ALFRED_N-80-20170403_seg043.npz,20170403_43
ALFRED_N,data\deepship_ps_2_npz\Tanker\ALFRED_N-80-20170326_seg027.npz,20170326_27,data\deepship_ps_2_npz\Tanker\ALFRED_N-80-20170403_seg017.npz,20170403_17
ALFRED_N,data\deepship_ps_2_npz\Tanker\ALFRED_N-80-20170326_seg028.npz,20170326_28,data\deepship_ps_2_npz\Tanker\ALFRED_N-80-20170403_seg055.npz,20170403_55
ALFRED_N,data\deepship_ps_2_npz\Tanker\ALFRED_N-80-20170326_seg029.npz,20170326_29,data\deepship_ps_2_npz\Tanker\ALFRED_N-80-20170403_seg058.npz,20170403_58
ALFRED_N,data\deepship_ps_2_npz\Tanker\ALFRED_N-80-20170326_seg030.npz,20170326_30,data\deepship_ps_2_npz\Tanker\ALFRED_N-80-20170403_seg021.npz,20170403_21
ALFRED_N,data\deepship_ps_2_npz\Tanker\ALFRED_N-80-20170326_seg031.npz,20170326_31,data\deepship_ps_2_npz\Tanker\ALFRED_N-80-20170403_seg006.npz,20170403_6
