ship_name,file_path_1,date_seg_1,file_path_2,date_seg_2
ALFRED_N,deepship_baseline_mat\Tanker\ALFRED_N-80-20170326_seg001.mat,20170326_1,deepship_baseline_mat\Tanker\ALFRED_N-80-20170403_seg051.mat,20170403_51
ALFRED_N,deepship_baseline_mat\Tanker\ALFRED_N-80-20170326_seg002.mat,20170326_2,deepship_baseline_mat\Tanker\ALFRED_N-80-20170403_seg048.mat,20170403_48
ALFRED_N,deepship_baseline_mat\Tanker\ALFRED_N-80-20170326_seg003.mat,20170326_3,deepship_baseline_mat\Tanker\ALFRED_N-80-20170403_seg052.mat,20170403_52
ALFRED_N,deepship_baseline_mat\Tanker\ALFRED_N-80-20170326_seg004.mat,20170326_4,deepship_baseline_mat\Tanker\ALFRED_N-80-20170403_seg050.mat,20170403_50
ALFRED_N,deepship_baseline_mat\Tanker\ALFRED_N-80-20170326_seg005.mat,20170326_5,deepship_baseline_mat\Tanker\ALFRED_N-80-20170403_seg016.mat,20170403_16
ALFRED_N,deepship_baseline_mat\Tanker\ALFRED_N-80-20170326_seg006.mat,20170326_6,deepship_baseline_mat\Tanker\ALFRED_N-80-20170403_seg014.mat,20170403_14
ALFRED_N,deepship_baseline_mat\Tanker\ALFRED_N-80-20170326_seg008.mat,20170326_8,deepship_baseline_mat\Tanker\ALFRED_N-80-20170403_seg049.mat,20170403_49
ALFRED_N,deepship_baseline_mat\Tanker\ALFRED_N-80-20170326_seg009.mat,20170326_9,deepship_baseline_mat\Tanker\ALFRED_N-80-20170403_seg038.mat,20170403_38
ALFRED_N,deepship_baseline_mat\Tanker\ALFRED_N-80-20170326_seg010.mat,20170326_10,deepship_baseline_mat\Tanker\ALFRED_N-80-20170403_seg027.mat,20170403_27
ALFRED_N,deepship_baseline_mat\Tanker\ALFRED_N-80-20170326_seg011.mat,20170326_11,deepship_baseline_mat\Tanker\ALFRED_N-80-20170403_seg012.mat,20170403_12
ALFRED_N,deepship_baseline_mat\Tanker\ALFRED_N-80-20170326_seg012.mat,20170326_12,deepship_baseline_mat\Tanker\ALFRED_N-80-20170403_seg006.mat,20170403_6
ALFRED_N,deepship_baseline_mat\Tanker\ALFRED_N-80-20170326_seg014.mat,20170326_14,deepship_baseline_mat\Tanker\ALFRED_N-80-20170403_seg011.mat,20170403_11
ALFRED_N,deepship_baseline_mat\Tanker\ALFRED_N-80-20170326_seg015.mat,20170326_15,deepship_baseline_mat\Tanker\ALFRED_N-80-20170403_seg044.mat,20170403_44
ALFRED_N,deepship_baseline_mat\Tanker\ALFRED_N-80-20170326_seg016.mat,20170326_16,deepship_baseline_mat\Tanker\ALFRED_N-80-20170403_seg018.mat,20170403_18
ALFRED_N,deepship_baseline_mat\Tanker\ALFRED_N-80-20170326_seg017.mat,20170326_17,deepship_baseline_mat\Tanker\ALFRED_N-80-20170403_seg035.mat,20170403_35
ALFRED_N,deepship_baseline_mat\Tanker\ALFRED_N-80-20170326_seg018.mat,20170326_18,deepship_baseline_mat\Tanker\ALFRED_N-80-20170403_seg028.mat,20170403_28
ALFRED_N,deepship_baseline_mat\Tanker\ALFRED_N-80-20170326_seg021.mat,20170326_21,deepship_baseline_mat\Tanker\ALFRED_N-80-20170403_seg043.mat,20170403_43
ALFRED_N,deepship_baseline_mat\Tanker\ALFRED_N-80-20170326_seg024.mat,20170326_24,deepship_baseline_mat\Tanker\ALFRED_N-80-20170403_seg058.mat,20170403_58
ALFRED_N,deepship_baseline_mat\Tanker\ALFRED_N-80-20170326_seg025.mat,20170326_25,deepship_baseline_mat\Tanker\ALFRED_N-80-20170403_seg024.mat,20170403_24
ALFRED_N,deepship_baseline_mat\Tanker\ALFRED_N-80-20170326_seg026.mat,20170326_26,deepship_baseline_mat\Tanker\ALFRED_N-80-20170403_seg037.mat,20170403_37
ALFRED_N,deepship_baseline_mat\Tanker\ALFRED_N-80-20170326_seg027.mat,20170326_27,deepship_baseline_mat\Tanker\ALFRED_N-80-20170403_seg001.mat,20170403_1
ALFRED_N,deepship_baseline_mat\Tanker\ALFRED_N-80-20170326_seg028.mat,20170326_28,deepship_baseline_mat\Tanker\ALFRED_N-80-20170403_seg026.mat,20170403_26
ALFRED_N,deepship_baseline_mat\Tanker\ALFRED_N-80-20170326_seg031.mat,20170326_31,deepship_baseline_mat\Tanker\ALFRED_N-80-20170403_seg004.mat,20170403_4
ALFRED_N,deepship_baseline_mat\Tanker\ALFRED_N-80-20170326_seg033.mat,20170326_33,deepship_baseline_mat\Tanker\ALFRED_N-80-20170403_seg015.mat,20170403_15
ALFRED_N,deepship_baseline_mat\Tanker\ALFRED_N-80-20170326_seg034.mat,20170326_34,deepship_baseline_mat\Tanker\ALFRED_N-80-20170403_seg022.mat,20170403_22
ALFRED_N,deepship_baseline_mat\Tanker\ALFRED_N-80-20170326_seg036.mat,20170326_36,deepship_baseline_mat\Tanker\ALFRED_N-80-20170403_seg020.mat,20170403_20
ALFRED_N,deepship_baseline_mat\Tanker\ALFRED_N-80-20170326_seg037.mat,20170326_37,deepship_baseline_mat\Tanker\ALFRED_N-80-20170403_seg057.mat,20170403_57
ALFRED_N,deepship_baseline_mat\Tanker\ALFRED_N-80-20170326_seg038.mat,20170326_38,deepship_baseline_mat\Tanker\ALFRED_N-80-20170403_seg010.mat,20170403_10
ALFRED_N,deepship_baseline_mat\Tanker\ALFRED_N-80-20170326_seg040.mat,20170326_40,deepship_baseline_mat\Tanker\ALFRED_N-80-20170403_seg036.mat,20170403_36
ALFRED_N,deepship_baseline_mat\Tanker\ALFRED_N-80-20170326_seg044.mat,20170326_44,deepship_baseline_mat\Tanker\ALFRED_N-80-20170403_seg040.mat,20170403_40
ALFRED_N,deepship_baseline_mat\Tanker\ALFRED_N-80-20170326_seg045.mat,20170326_45,deepship_baseline_mat\Tanker\ALFRED_N-80-20170403_seg031.mat,20170403_31
ALFRED_N,deepship_baseline_mat\Tanker\ALFRED_N-80-20170326_seg046.mat,20170326_46,deepship_baseline_mat\Tanker\ALFRED_N-80-20170403_seg029.mat,20170403_29
ALFRED_N,deepship_baseline_mat\Tanker\ALFRED_N-80-20170326_seg049.mat,20170326_49,deepship_baseline_mat\Tanker\ALFRED_N-80-20170403_seg046.mat,20170403_46
ALFRED_N,deepship_baseline_mat\Tanker\ALFRED_N-80-20170326_seg050.mat,20170326_50,deepship_baseline_mat\Tanker\ALFRED_N-80-20170403_seg025.mat,20170403_25
ALFRED_N,deepship_baseline_mat\Tanker\ALFRED_N-80-20170326_seg051.mat,20170326_51,deepship_baseline_mat\Tanker\ALFRED_N-80-20170403_seg019.mat,20170403_19
ALFRED_N,deepship_baseline_mat\Tanker\ALFRED_N-80-20170326_seg052.mat,20170326_52,deepship_baseline_mat\Tanker\ALFRED_N-80-20170403_seg021.mat,20170403_21
