input,label
deepship_baseline_mat\Cargo\ADVENTURE_1-70-20171207_seg001.mat,deepship_baseline_mat\Cargo\ADVENTURE_1-70-20171207_seg002.mat
deepship_baseline_mat\Cargo\ADVENTURE_1-70-20171207_seg003.mat,deepship_baseline_mat\Cargo\ADVENTURE_1-70-20171207_seg004.mat
deepship_baseline_mat\Cargo\ADVENTURE_1-70-20171207_seg005.mat,deepship_baseline_mat\Cargo\ADVENTURE_1-70-20171207_seg006.mat
deepship_baseline_mat\Cargo\ADVENTURE_1-70-20171207_seg007.mat,deepship_baseline_mat\Cargo\ADVENTURE_1-70-20171207_seg008.mat
deepship_baseline_mat\Cargo\ADVENTURE_1-70-20171207_seg009.mat,deepship_baseline_mat\Cargo\ADVENTURE_1-70-20171207_seg010.mat
deepship_baseline_mat\Cargo\ADVENTURE_1-70-20171207_seg011.mat,deepship_baseline_mat\Cargo\ADVENTURE_1-70-20171207_seg012.mat
deepship_baseline_mat\Cargo\ADVENTURE_1-70-20171207_seg013.mat,deepship_baseline_mat\Cargo\ADVENTURE_1-70-20171207_seg014.mat
deepship_baseline_mat\Cargo\ADVENTURE_1-70-20171207_seg015.mat,deepship_baseline_mat\Cargo\ADVENTURE_1-70-20171207_seg016.mat
deepship_baseline_mat\Cargo\ADVENTURE_1-70-20171207_seg017.mat,deepship_baseline_mat\Cargo\ADVENTURE_1-70-20171207_seg018.mat
deepship_baseline_mat\Cargo\ADVENTURE_1-70-20171207_seg019.mat,deepship_baseline_mat\Cargo\ADVENTURE_1-70-20171207_seg020.mat
deepship_baseline_mat\Cargo\ADVENTURE_1-70-20171207_seg021.mat,deepship_baseline_mat\Cargo\ADVENTURE_1-70-20171207_seg022.mat
deepship_baseline_mat\Cargo\ADVENTURE_1-70-20171207_seg023.mat,deepship_baseline_mat\Cargo\ADVENTURE_1-70-20171207_seg024.mat
deepship_baseline_mat\Cargo\ADVENTURE_1-70-20171207_seg025.mat,deepship_baseline_mat\Cargo\ADVENTURE_1-70-20171207_seg026.mat
deepship_baseline_mat\Cargo\ADVENTURE_1-70-20171207_seg027.mat,deepship_baseline_mat\Cargo\ADVENTURE_1-70-20171207_seg028.mat
deepship_baseline_mat\Cargo\ADVENTURE_1-70-20171207_seg029.mat,deepship_baseline_mat\Cargo\ADVENTURE_1-70-20171207_seg030.mat
deepship_baseline_mat\Cargo\ADVENTURE_1-70-20171207_seg031.mat,deepship_baseline_mat\Cargo\ADVENTURE_1-70-20171207_seg032.mat
deepship_baseline_mat\Cargo\ADVENTURE_1-70-20171207_seg033.mat,deepship_baseline_mat\Cargo\ADVENTURE_1-70-20171207_seg034.mat
deepship_baseline_mat\Cargo\ADVENTURE_1-70-20171207_seg035.mat,deepship_baseline_mat\Cargo\ADVENTURE_1-70-20171207_seg036.mat
deepship_baseline_mat\Cargo\ADVENTURE_1-70-20171207_seg037.mat,deepship_baseline_mat\Cargo\ADVENTURE_1-70-20171207_seg038.mat
deepship_baseline_mat\Cargo\ADVENTURE_1-70-20171207_seg039.mat,deepship_baseline_mat\Cargo\ADVENTURE_1-70-20171207_seg040.mat
deepship_baseline_mat\Cargo\ADVENTURE_1-70-20171207_seg041.mat,deepship_baseline_mat\Cargo\ADVENTURE_1-70-20171207_seg042.mat
deepship_baseline_mat\Cargo\ADVENTURE_1-70-20171207_seg043.mat,deepship_baseline_mat\Cargo\ADVENTURE_1-70-20171207_seg044.mat
deepship_baseline_mat\Cargo\ADVENTURE_1-70-20171207_seg045.mat,deepship_baseline_mat\Cargo\ADVENTURE_1-70-20171207_seg046.mat
deepship_baseline_mat\Cargo\ADVENTURE_1-70-20171207_seg047.mat,deepship_baseline_mat\Cargo\ADVENTURE_1-70-20171207_seg048.mat
deepship_baseline_mat\Cargo\ADVENTURE_1-70-20171207_seg049.mat,deepship_baseline_mat\Cargo\ADVENTURE_1-70-20171207_seg050.mat
deepship_baseline_mat\Cargo\ADVENTURE_1-70-20171207_seg051.mat,deepship_baseline_mat\Cargo\ADVENTURE_1-70-20171207_seg052.mat
deepship_baseline_mat\Cargo\ADVENTURE_1-70-20171207_seg053.mat,deepship_baseline_mat\Cargo\ADVENTURE_1-70-20171207_seg054.mat
deepship_baseline_mat\Cargo\ADVENTURE_1-70-20171207_seg055.mat,deepship_baseline_mat\Cargo\ADVENTURE_1-70-20171207_seg056.mat
deepship_baseline_mat\Cargo\ADVENTURE_1-70-20171207_seg057.mat,deepship_baseline_mat\Cargo\ADVENTURE_1-70-20171207_seg058.mat
deepship_baseline_mat\Cargo\ADVENTURE_1-70-20171207_seg059.mat,deepship_baseline_mat\Cargo\ADVENTURE_1-70-20171207_seg060.mat
deepship_baseline_mat\Cargo\ADVENTURE_1-70-20171207_seg061.mat,deepship_baseline_mat\Cargo\ADVENTURE_1-70-20171207_seg062.mat
deepship_baseline_mat\Cargo\ADVENTURE_1-70-20171207_seg063.mat,deepship_baseline_mat\Cargo\ADVENTURE_1-70-20171207_seg064.mat
deepship_baseline_mat\Cargo\ADVENTURE_1-70-20171207_seg065.mat,deepship_baseline_mat\Cargo\ADVENTURE_1-70-20171207_seg066.mat
deepship_baseline_mat\Cargo\ADVENTURE_1-70-20171207_seg067.mat,deepship_baseline_mat\Cargo\ADVENTURE_1-70-20171207_seg068.mat
deepship_baseline_mat\Cargo\ADVENTURE_1-70-20171207_seg069.mat,deepship_baseline_mat\Cargo\ADVENTURE_1-70-20171207_seg070.mat
deepship_baseline_mat\Cargo\ADVENTURE_1-70-20171207_seg071.mat,deepship_baseline_mat\Cargo\ADVENTURE_1-70-20171207_seg072.mat
deepship_baseline_mat\Cargo\ADVENTURE_1-70-20171207_seg073.mat,deepship_baseline_mat\Cargo\ADVENTURE_1-70-20171207_seg074.mat
deepship_baseline_mat\Cargo\ADVENTURE_1-70-20171207_seg075.mat,deepship_baseline_mat\Cargo\ADVENTURE_1-70-20171207_seg076.mat
deepship_baseline_mat\Cargo\ADVENTURE_1-70-20171207_seg077.mat,deepship_baseline_mat\Cargo\ADVENTURE_1-70-20171207_seg078.mat
deepship_baseline_mat\Cargo\ADVENTURE_1-70-20171207_seg079.mat,deepship_baseline_mat\Cargo\ADVENTURE_1-70-20171207_seg080.mat
deepship_baseline_mat\Cargo\ADVENTURE_1-70-20171207_seg081.mat,deepship_baseline_mat\Cargo\ADVENTURE_1-70-20171207_seg082.mat
deepship_baseline_mat\Cargo\AFRICAN_KITE-70-20171214_seg001.mat,deepship_baseline_mat\Cargo\AFRICAN_KITE-70-20171214_seg002.mat
deepship_baseline_mat\Cargo\AFRICAN_KITE-70-20171214_seg003.mat,deepship_baseline_mat\Cargo\AFRICAN_KITE-70-20171214_seg004.mat
deepship_baseline_mat\Cargo\AFRICAN_KITE-70-20171214_seg005.mat,deepship_baseline_mat\Cargo\AFRICAN_KITE-70-20171214_seg006.mat
deepship_baseline_mat\Cargo\AFRICAN_KITE-70-20171214_seg007.mat,deepship_baseline_mat\Cargo\AFRICAN_KITE-70-20171214_seg008.mat
deepship_baseline_mat\Cargo\AFRICAN_KITE-70-20171214_seg009.mat,deepship_baseline_mat\Cargo\AFRICAN_KITE-70-20171214_seg010.mat
deepship_baseline_mat\Cargo\AFRICAN_KITE-70-20171214_seg011.mat,deepship_baseline_mat\Cargo\AFRICAN_KITE-70-20171214_seg012.mat
deepship_baseline_mat\Cargo\AFRICAN_KITE-70-20171214_seg013.mat,deepship_baseline_mat\Cargo\AFRICAN_KITE-70-20171214_seg014.mat
