ship_name,file_path_1,date_seg_1,file_path_2,date_seg_2
ALFRED_N,deepship_baseline_mat\Tanker\ALFRED_N-80-20170326_seg001.mat,20170326_1,deepship_baseline_mat\Tanker\ALFRED_N-80-20170403_seg057.mat,20170403_57
ALFRED_N,deepship_baseline_mat\Tanker\ALFRED_N-80-20170326_seg002.mat,20170326_2,deepship_baseline_mat\Tanker\ALFRED_N-80-20170403_seg003.mat,20170403_3
ALFRED_N,deepship_baseline_mat\Tanker\ALFRED_N-80-20170326_seg004.mat,20170326_4,deepship_baseline_mat\Tanker\ALFRED_N-80-20170403_seg010.mat,20170403_10
ALFRED_N,deepship_baseline_mat\Tanker\ALFRED_N-80-20170326_seg005.mat,20170326_5,deepship_baseline_mat\Tanker\ALFRED_N-80-20170403_seg042.mat,20170403_42
ALFRED_N,deepship_baseline_mat\Tanker\ALFRED_N-80-20170326_seg006.mat,20170326_6,deepship_baseline_mat\Tanker\ALFRED_N-80-20170403_seg039.mat,20170403_39
ALFRED_N,deepship_baseline_mat\Tanker\ALFRED_N-80-20170326_seg007.mat,20170326_7,deepship_baseline_mat\Tanker\ALFRED_N-80-20170403_seg035.mat,20170403_35
ALFRED_N,deepship_baseline_mat\Tanker\ALFRED_N-80-20170326_seg008.mat,20170326_8,deepship_baseline_mat\Tanker\ALFRED_N-80-20170403_seg032.mat,20170403_32
ALFRED_N,deepship_baseline_mat\Tanker\ALFRED_N-80-20170326_seg009.mat,20170326_9,deepship_baseline_mat\Tanker\ALFRED_N-80-20170403_seg023.mat,20170403_23
ALFRED_N,deepship_baseline_mat\Tanker\ALFRED_N-80-20170326_seg010.mat,20170326_10,deepship_baseline_mat\Tanker\ALFRED_N-80-20170403_seg017.mat,20170403_17
ALFRED_N,deepship_baseline_mat\Tanker\ALFRED_N-80-20170326_seg012.mat,20170326_12,deepship_baseline_mat\Tanker\ALFRED_N-80-20170403_seg030.mat,20170403_30
ALFRED_N,deepship_baseline_mat\Tanker\ALFRED_N-80-20170326_seg013.mat,20170326_13,deepship_baseline_mat\Tanker\ALFRED_N-80-20170403_seg058.mat,20170403_58
ALFRED_N,deepship_baseline_mat\Tanker\ALFRED_N-80-20170326_seg014.mat,20170326_14,deepship_baseline_mat\Tanker\ALFRED_N-80-20170403_seg024.mat,20170403_24
ALFRED_N,deepship_baseline_mat\Tanker\ALFRED_N-80-20170326_seg015.mat,20170326_15,deepship_baseline_mat\Tanker\ALFRED_N-80-20170403_seg026.mat,20170403_26
ALFRED_N,deepship_baseline_mat\Tanker\ALFRED_N-80-20170326_seg017.mat,20170326_17,deepship_baseline_mat\Tanker\ALFRED_N-80-20170403_seg007.mat,20170403_7
ALFRED_N,deepship_baseline_mat\Tanker\ALFRED_N-80-20170326_seg019.mat,20170326_19,deepship_baseline_mat\Tanker\ALFRED_N-80-20170403_seg019.mat,20170403_19
ALFRED_N,deepship_baseline_mat\Tanker\ALFRED_N-80-20170326_seg020.mat,20170326_20,deepship_baseline_mat\Tanker\ALFRED_N-80-20170403_seg020.mat,20170403_20
ALFRED_N,deepship_baseline_mat\Tanker\ALFRED_N-80-20170326_seg021.mat,20170326_21,deepship_baseline_mat\Tanker\ALFRED_N-80-20170403_seg013.mat,20170403_13
ALFRED_N,deepship_baseline_mat\Tanker\ALFRED_N-80-20170326_seg022.mat,20170326_22,deepship_baseline_mat\Tanker\ALFRED_N-80-20170403_seg036.mat,20170403_36
ALFRED_N,deepship_baseline_mat\Tanker\ALFRED_N-80-20170326_seg023.mat,20170326_23,deepship_baseline_mat\Tanker\ALFRED_N-80-20170403_seg012.mat,20170403_12
ALFRED_N,deepship_baseline_mat\Tanker\ALFRED_N-80-20170326_seg024.mat,20170326_24,deepship_baseline_mat\Tanker\ALFRED_N-80-20170403_seg056.mat,20170403_56
ALFRED_N,deepship_baseline_mat\Tanker\ALFRED_N-80-20170326_seg026.mat,20170326_26,deepship_baseline_mat\Tanker\ALFRED_N-80-20170403_seg018.mat,20170403_18
ALFRED_N,deepship_baseline_mat\Tanker\ALFRED_N-80-20170326_seg028.mat,20170326_28,deepship_baseline_mat\Tanker\ALFRED_N-80-20170403_seg028.mat,20170403_28
ALFRED_N,deepship_baseline_mat\Tanker\ALFRED_N-80-20170326_seg030.mat,20170326_30,deepship_baseline_mat\Tanker\ALFRED_N-80-20170403_seg051.mat,20170403_51
ALFRED_N,deepship_baseline_mat\Tanker\ALFRED_N-80-20170326_seg031.mat,20170326_31,deepship_baseline_mat\Tanker\ALFRED_N-80-20170403_seg016.mat,20170403_16
ALFRED_N,deepship_baseline_mat\Tanker\ALFRED_N-80-20170326_seg032.mat,20170326_32,deepship_baseline_mat\Tanker\ALFRED_N-80-20170403_seg009.mat,20170403_9
ALFRED_N,deepship_baseline_mat\Tanker\ALFRED_N-80-20170326_seg034.mat,20170326_34,deepship_baseline_mat\Tanker\ALFRED_N-80-20170403_seg029.mat,20170403_29
ALFRED_N,deepship_baseline_mat\Tanker\ALFRED_N-80-20170326_seg036.mat,20170326_36,deepship_baseline_mat\Tanker\ALFRED_N-80-20170403_seg001.mat,20170403_1
ALFRED_N,deepship_baseline_mat\Tanker\ALFRED_N-80-20170326_seg037.mat,20170326_37,deepship_baseline_mat\Tanker\ALFRED_N-80-20170403_seg054.mat,20170403_54
ALFRED_N,deepship_baseline_mat\Tanker\ALFRED_N-80-20170326_seg040.mat,20170326_40,deepship_baseline_mat\Tanker\ALFRED_N-80-20170403_seg011.mat,20170403_11
ALFRED_N,deepship_baseline_mat\Tanker\ALFRED_N-80-20170326_seg041.mat,20170326_41,deepship_baseline_mat\Tanker\ALFRED_N-80-20170403_seg027.mat,20170403_27
ALFRED_N,deepship_baseline_mat\Tanker\ALFRED_N-80-20170326_seg043.mat,20170326_43,deepship_baseline_mat\Tanker\ALFRED_N-80-20170403_seg004.mat,20170403_4
ALFRED_N,deepship_baseline_mat\Tanker\ALFRED_N-80-20170326_seg044.mat,20170326_44,deepship_baseline_mat\Tanker\ALFRED_N-80-20170403_seg052.mat,20170403_52
ALFRED_N,deepship_baseline_mat\Tanker\ALFRED_N-80-20170326_seg045.mat,20170326_45,deepship_baseline_mat\Tanker\ALFRED_N-80-20170403_seg014.mat,20170403_14
ALFRED_N,deepship_baseline_mat\Tanker\ALFRED_N-80-20170326_seg047.mat,20170326_47,deepship_baseline_mat\Tanker\ALFRED_N-80-20170403_seg043.mat,20170403_43
ALFRED_N,deepship_baseline_mat\Tanker\ALFRED_N-80-20170326_seg052.mat,20170326_52,deepship_baseline_mat\Tanker\ALFRED_N-80-20170403_seg002.mat,20170403_2
ALFRED_N,deepship_baseline_mat\Tanker\ALFRED_N-80-20170326_seg055.mat,20170326_55,deepship_baseline_mat\Tanker\ALFRED_N-80-20170403_seg046.mat,20170403_46
ALFRED_N,deepship_baseline_mat\Tanker\ALFRED_N-80-20170326_seg057.mat,20170326_57,deepship_baseline_mat\Tanker\ALFRED_N-80-20170403_seg038.mat,20170403_38
ALFRED_N,deepship_baseline_mat\Tanker\ALFRED_N-80-20170326_seg061.mat,20170326_61,deepship_baseline_mat\Tanker\ALFRED_N-80-20170403_seg041.mat,20170403_41
ALFRED_N,deepship_baseline_mat\Tanker\ALFRED_N-80-20170326_seg062.mat,20170326_62,deepship_baseline_mat\Tanker\ALFRED_N-80-20170403_seg005.mat,20170403_5
ALFRED_N,deepship_baseline_mat\Tanker\ALFRED_N-80-20170326_seg064.mat,20170326_64,deepship_baseline_mat\Tanker\ALFRED_N-80-20170403_seg045.mat,20170403_45
ALFRED_N,deepship_baseline_mat\Tanker\ALFRED_N-80-20170326_seg067.mat,20170326_67,deepship_baseline_mat\Tanker\ALFRED_N-80-20170403_seg034.mat,20170403_34
ALFRED_N,deepship_baseline_mat\Tanker\ALFRED_N-80-20170326_seg068.mat,20170326_68,deepship_baseline_mat\Tanker\ALFRED_N-80-20170403_seg021.mat,20170403_21
ALFRED_N,deepship_baseline_mat\Tanker\ALFRED_N-80-20170326_seg073.mat,20170326_73,deepship_baseline_mat\Tanker\ALFRED_N-80-20170403_seg031.mat,20170403_31
ALFRED_N,deepship_baseline_mat\Tanker\ALFRED_N-80-20170326_seg074.mat,20170326_74,deepship_baseline_mat\Tanker\ALFRED_N-80-20170403_seg006.mat,20170403_6
ALFRED_N,deepship_baseline_mat\Tanker\ALFRED_N-80-20170326_seg075.mat,20170326_75,deepship_baseline_mat\Tanker\ALFRED_N-80-20170403_seg048.mat,20170403_48
ALFRED_N,deepship_baseline_mat\Tanker\ALFRED_N-80-20170326_seg079.mat,20170326_79,deepship_baseline_mat\Tanker\ALFRED_N-80-20170403_seg025.mat,20170403_25
ALFRED_N,deepship_baseline_mat\Tanker\ALFRED_N-80-20170403_seg008.mat,20170403_8,deepship_baseline_mat\Tanker\ALFRED_N-80-20170326_seg066.mat,20170326_66
ALFRED_N,deepship_baseline_mat\Tanker\ALFRED_N-80-20170403_seg015.mat,20170403_15,deepship_baseline_mat\Tanker\ALFRED_N-80-20170326_seg058.mat,20170326_58
ALFRED_N,deepship_baseline_mat\Tanker\ALFRED_N-80-20170403_seg040.mat,20170403_40,deepship_baseline_mat\Tanker\ALFRED_N-80-20170326_seg063.mat,20170326_63
ALFRED_N,deepship_baseline_mat\Tanker\ALFRED_N-80-20170403_seg044.mat,20170403_44,deepship_baseline_mat\Tanker\ALFRED_N-80-20170326_seg016.mat,20170326_16
ALFRED_N,deepship_baseline_mat\Tanker\ALFRED_N-80-20170403_seg047.mat,20170403_47,deepship_baseline_mat\Tanker\ALFRED_N-80-20170326_seg051.mat,20170326_51
ALFRED_N,deepship_baseline_mat\Tanker\ALFRED_N-80-20170403_seg055.mat,20170403_55,deepship_baseline_mat\Tanker\ALFRED_N-80-20170326_seg033.mat,20170326_33
AMAGI_GALAXY,deepship_baseline_mat\Tanker\AMAGI_GALAXY-82-20170119_seg001.mat,20170119_1,deepship_baseline_mat\Tanker\AMAGI_GALAXY-82-20170723_seg091.mat,20170723_91
AMAGI_GALAXY,deepship_baseline_mat\Tanker\AMAGI_GALAXY-82-20170119_seg002.mat,20170119_2,deepship_baseline_mat\Tanker\AMAGI_GALAXY-82-20171230_seg042.mat,20171230_42
AMAGI_GALAXY,deepship_baseline_mat\Tanker\AMAGI_GALAXY-82-20170119_seg003.mat,20170119_3,deepship_baseline_mat\Tanker\AMAGI_GALAXY-89-20170419_seg108.mat,20170419_108
AMAGI_GALAXY,deepship_baseline_mat\Tanker\AMAGI_GALAXY-82-20170119_seg004.mat,20170119_4,deepship_baseline_mat\Tanker\AMAGI_GALAXY-89-20170419_seg061.mat,20170419_61
AMAGI_GALAXY,deepship_baseline_mat\Tanker\AMAGI_GALAXY-82-20170119_seg005.mat,20170119_5,deepship_baseline_mat\Tanker\AMAGI_GALAXY-89-20170419_seg067.mat,20170419_67
AMAGI_GALAXY,deepship_baseline_mat\Tanker\AMAGI_GALAXY-82-20170119_seg006.mat,20170119_6,deepship_baseline_mat\Tanker\AMAGI_GALAXY-82-20170723_seg005.mat,20170723_5
AMAGI_GALAXY,deepship_baseline_mat\Tanker\AMAGI_GALAXY-82-20170119_seg007.mat,20170119_7,deepship_baseline_mat\Tanker\AMAGI_GALAXY-82-20170723_seg102.mat,20170723_102
AMAGI_GALAXY,deepship_baseline_mat\Tanker\AMAGI_GALAXY-82-20170119_seg008.mat,20170119_8,deepship_baseline_mat\Tanker\AMAGI_GALAXY-82-20171230_seg013.mat,20171230_13
AMAGI_GALAXY,deepship_baseline_mat\Tanker\AMAGI_GALAXY-82-20170119_seg009.mat,20170119_9,deepship_baseline_mat\Tanker\AMAGI_GALAXY-82-20170723_seg064.mat,20170723_64
AMAGI_GALAXY,deepship_baseline_mat\Tanker\AMAGI_GALAXY-82-20170119_seg010.mat,20170119_10,deepship_baseline_mat\Tanker\AMAGI_GALAXY-82-20171230_seg040.mat,20171230_40
AMAGI_GALAXY,deepship_baseline_mat\Tanker\AMAGI_GALAXY-82-20170119_seg011.mat,20170119_11,deepship_baseline_mat\Tanker\AMAGI_GALAXY-82-20170723_seg080.mat,20170723_80
AMAGI_GALAXY,deepship_baseline_mat\Tanker\AMAGI_GALAXY-82-20170119_seg012.mat,20170119_12,deepship_baseline_mat\Tanker\AMAGI_GALAXY-82-20170723_seg027.mat,20170723_27
AMAGI_GALAXY,deepship_baseline_mat\Tanker\AMAGI_GALAXY-82-20170119_seg013.mat,20170119_13,deepship_baseline_mat\Tanker\AMAGI_GALAXY-82-20171230_seg074.mat,20171230_74
AMAGI_GALAXY,deepship_baseline_mat\Tanker\AMAGI_GALAXY-82-20170723_seg001.mat,20170723_1,deepship_baseline_mat\Tanker\AMAGI_GALAXY-82-20171230_seg035.mat,20171230_35
AMAGI_GALAXY,deepship_baseline_mat\Tanker\AMAGI_GALAXY-82-20170723_seg002.mat,20170723_2,deepship_baseline_mat\Tanker\AMAGI_GALAXY-89-20170419_seg050.mat,20170419_50
AMAGI_GALAXY,deepship_baseline_mat\Tanker\AMAGI_GALAXY-82-20170723_seg003.mat,20170723_3,deepship_baseline_mat\Tanker\AMAGI_GALAXY-82-20171230_seg054.mat,20171230_54
AMAGI_GALAXY,deepship_baseline_mat\Tanker\AMAGI_GALAXY-82-20170723_seg004.mat,20170723_4,deepship_baseline_mat\Tanker\AMAGI_GALAXY-89-20170419_seg063.mat,20170419_63
AMAGI_GALAXY,deepship_baseline_mat\Tanker\AMAGI_GALAXY-82-20170723_seg006.mat,20170723_6,deepship_baseline_mat\Tanker\AMAGI_GALAXY-89-20170419_seg062.mat,20170419_62
AMAGI_GALAXY,deepship_baseline_mat\Tanker\AMAGI_GALAXY-82-20170723_seg007.mat,20170723_7,deepship_baseline_mat\Tanker\AMAGI_GALAXY-82-20171230_seg086.mat,20171230_86
AMAGI_GALAXY,deepship_baseline_mat\Tanker\AMAGI_GALAXY-82-20170723_seg008.mat,20170723_8,deepship_baseline_mat\Tanker\AMAGI_GALAXY-89-20161009_seg014.mat,20161009_14
AMAGI_GALAXY,deepship_baseline_mat\Tanker\AMAGI_GALAXY-82-20170723_seg009.mat,20170723_9,deepship_baseline_mat\Tanker\AMAGI_GALAXY-89-20170419_seg042.mat,20170419_42
AMAGI_GALAXY,deepship_baseline_mat\Tanker\AMAGI_GALAXY-82-20170723_seg010.mat,20170723_10,deepship_baseline_mat\Tanker\AMAGI_GALAXY-89-20170419_seg029.mat,20170419_29
AMAGI_GALAXY,deepship_baseline_mat\Tanker\AMAGI_GALAXY-82-20170723_seg012.mat,20170723_12,deepship_baseline_mat\Tanker\AMAGI_GALAXY-82-20171230_seg075.mat,20171230_75
AMAGI_GALAXY,deepship_baseline_mat\Tanker\AMAGI_GALAXY-82-20170723_seg013.mat,20170723_13,deepship_baseline_mat\Tanker\AMAGI_GALAXY-89-20170419_seg014.mat,20170419_14
AMAGI_GALAXY,deepship_baseline_mat\Tanker\AMAGI_GALAXY-82-20170723_seg014.mat,20170723_14,deepship_baseline_mat\Tanker\AMAGI_GALAXY-89-20170419_seg109.mat,20170419_109
AMAGI_GALAXY,deepship_baseline_mat\Tanker\AMAGI_GALAXY-82-20170723_seg015.mat,20170723_15,deepship_baseline_mat\Tanker\AMAGI_GALAXY-82-20171230_seg019.mat,20171230_19
AMAGI_GALAXY,deepship_baseline_mat\Tanker\AMAGI_GALAXY-82-20170723_seg016.mat,20170723_16,deepship_baseline_mat\Tanker\AMAGI_GALAXY-89-20170419_seg085.mat,20170419_85
AMAGI_GALAXY,deepship_baseline_mat\Tanker\AMAGI_GALAXY-82-20170723_seg017.mat,20170723_17,deepship_baseline_mat\Tanker\AMAGI_GALAXY-89-20170419_seg111.mat,20170419_111
AMAGI_GALAXY,deepship_baseline_mat\Tanker\AMAGI_GALAXY-82-20170723_seg018.mat,20170723_18,deepship_baseline_mat\Tanker\AMAGI_GALAXY-89-20170419_seg009.mat,20170419_9
AMAGI_GALAXY,deepship_baseline_mat\Tanker\AMAGI_GALAXY-82-20170723_seg019.mat,20170723_19,deepship_baseline_mat\Tanker\AMAGI_GALAXY-82-20171230_seg032.mat,20171230_32
AMAGI_GALAXY,deepship_baseline_mat\Tanker\AMAGI_GALAXY-82-20170723_seg020.mat,20170723_20,deepship_baseline_mat\Tanker\AMAGI_GALAXY-89-20170419_seg026.mat,20170419_26
AMAGI_GALAXY,deepship_baseline_mat\Tanker\AMAGI_GALAXY-82-20170723_seg021.mat,20170723_21,deepship_baseline_mat\Tanker\AMAGI_GALAXY-89-20170419_seg030.mat,20170419_30
AMAGI_GALAXY,deepship_baseline_mat\Tanker\AMAGI_GALAXY-82-20170723_seg022.mat,20170723_22,deepship_baseline_mat\Tanker\AMAGI_GALAXY-82-20171230_seg077.mat,20171230_77
AMAGI_GALAXY,deepship_baseline_mat\Tanker\AMAGI_GALAXY-82-20170723_seg023.mat,20170723_23,deepship_baseline_mat\Tanker\AMAGI_GALAXY-89-20170419_seg015.mat,20170419_15
AMAGI_GALAXY,deepship_baseline_mat\Tanker\AMAGI_GALAXY-82-20170723_seg024.mat,20170723_24,deepship_baseline_mat\Tanker\AMAGI_GALAXY-82-20171230_seg079.mat,20171230_79
AMAGI_GALAXY,deepship_baseline_mat\Tanker\AMAGI_GALAXY-82-20170723_seg026.mat,20170723_26,deepship_baseline_mat\Tanker\AMAGI_GALAXY-82-20171230_seg034.mat,20171230_34
AMAGI_GALAXY,deepship_baseline_mat\Tanker\AMAGI_GALAXY-82-20170723_seg028.mat,20170723_28,deepship_baseline_mat\Tanker\AMAGI_GALAXY-82-20171230_seg090.mat,20171230_90
